link_id,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23
1_2,27.15,24.71,25.26,23.52,20.35,16.37,15.3,14.49,10.77,9.68,12.23,10.31,11.0,10.97,14.02,15.03,17.46,19.11,24.9,24.97,24.54,29.02,30.25,32.81
1_7,24.93,24.72,26.74,19.2,18.15,22.19,16.61,16.79,8.0,9.97,9.19,12.5,11.1,8.87,12.07,12.42,15.27,15.54,18.59,24.27,24.59,26.59,26.73,25.66
2_3,22.34,25.41,23.87,22.2,23.42,21.57,17.57,12.12,11.49,11.8,11.84,10.57,11.1,11.42,15.59,12.42,17.74,23.75,21.02,31.03,25.36,25.55,26.02,26.34
2_8,20.11,16.0,15.47,13.51,14.32,13.09,9.75,11.26,8.0,9.89,8.0,8.0,9.31,8.49,11.18,11.56,14.97,12.86,18.2,17.17,8.63,21.45,16.6,20.6
3_4,24.15,23.24,27.11,27.65,19.37,14.68,17.34,12.16,9.38,10.55,10.91,10.53,9.86,8.47,12.84,17.62,20.51,23.54,19.82,22.66,25.59,28.83,25.93,23.87
3_9,14.68,15.49,17.02,16.4,8.09,15.16,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.34,8.0,11.29,8.37,18.4,13.16,17.16,13.47,15.76
4_5,28.22,25.81,23.37,22.65,21.49,22.97,14.8,13.87,14.14,11.89,10.57,8.0,12.62,15.22,10.81,10.67,16.22,15.33,21.97,23.53,22.41,27.04,23.11,24.01
10_4,17.46,19.68,18.48,17.47,17.29,8.47,8.0,8.0,8.0,8.0,12.03,8.32,8.0,10.84,8.0,11.24,11.64,9.96,14.22,9.58,19.32,24.02,19.76,18.42
5_6,24.51,24.87,25.17,16.85,22.62,17.68,14.88,12.26,8.0,9.33,8.0,8.0,9.34,8.0,8.46,11.89,18.94,17.65,22.79,20.07,22.05,22.89,21.78,26.73
11_5,18.18,15.12,19.32,14.45,12.15,8.0,19.61,10.77,10.72,10.91,8.0,8.0,8.4,8.0,13.02,8.0,11.13,9.7,8.0,10.52,14.03,18.68,15.94,15.7
12_6,27.9,23.01,25.51,20.25,18.51,18.53,16.05,8.99,10.88,14.72,8.0,8.26,15.17,9.54,13.6,17.65,19.07,17.84,21.42,25.64,30.34,31.23,28.83,23.25
7_8,20.77,19.58,16.62,12.13,11.76,15.28,11.49,11.33,8.38,8.46,8.27,8.0,8.03,8.14,8.0,8.0,19.08,15.44,14.24,9.91,14.44,18.41,18.36,19.48
13_7,21.43,24.55,23.87,20.74,20.57,17.54,16.26,10.92,8.39,8.0,8.09,11.93,9.26,11.99,12.68,13.87,11.23,20.87,23.09,24.82,21.45,27.98,25.85,25.65
8_9,18.78,16.22,18.48,10.62,11.4,10.76,14.34,11.29,9.85,8.0,9.36,9.4,8.0,8.0,9.38,9.24,13.53,13.61,8.0,17.58,15.87,16.23,19.4,20.54
14_8,20.45,12.61,22.46,17.95,9.2,13.1,14.23,9.04,8.0,10.57,8.0,8.0,10.98,9.01,8.7,17.32,15.15,13.49,16.76,17.69,11.93,13.65,14.92,22.14
10_9,15.03,17.71,16.75,12.56,8.0,8.0,11.2,8.0,8.0,8.86,8.0,8.0,8.0,8.0,11.08,10.59,8.0,9.01,15.69,16.01,14.18,12.94,14.53,14.78
15_9,19.78,16.79,13.25,21.23,8.0,12.17,10.66,8.0,8.0,10.55,8.0,8.0,8.0,18.07,16.34,8.18,10.0,13.78,13.53,17.47,16.81,18.82,19.31,14.78
10_11,14.54,14.76,8.0,11.74,9.53,15.43,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.19,8.0,12.94,8.0,10.33,17.7,15.6,14.17,18.02,16.32
10_16,15.62,21.66,21.2,16.99,16.62,16.18,16.79,10.49,8.0,13.47,8.66,8.0,10.63,8.0,8.0,12.35,15.16,9.87,12.55,16.28,17.86,19.52,20.31,21.79
11_12,13.4,15.89,18.74,10.08,15.22,14.95,8.0,8.0,10.74,8.0,8.0,9.66,8.0,8.0,8.0,8.92,16.56,10.32,14.49,15.27,12.97,15.63,20.96,17.77
11_17,21.18,20.76,18.95,17.95,9.18,15.42,8.0,8.24,9.8,8.0,8.0,8.0,8.0,9.81,9.66,11.13,10.47,12.31,10.98,13.78,18.9,16.99,20.67,19.43
