link_id,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23
100101_100102,49.49,46.42,45.74,42.67,37.89,32.46,28.81,25.92,21.27,19.27,20.75,19.22,20.33,21.42,25.55,28.59,32.77,36.34,43.21,44.94,45.72,50.43,51.97,54.57
100101_100111,47.47,46.18,46.67,38.96,35.89,36.87,29.61,27.52,18.29,19.26,18.07,20.73,20.17,19.5,23.74,26.26,30.78,33.24,37.92,44.14,45.52,48.24,48.91,48.61
100102_100103,46.83,48.17,45.81,42.8,41.54,37.81,31.82,25.21,23.03,22.16,21.63,20.61,21.6,22.97,27.99,27.69,34.19,41.24,41.29,50.99,47.57,48.84,49.77,50.59
100102_100112,39.98,34.5,33.2,29.89,29.46,26.66,21.06,21.45,15.43,18.14,12.22,14.5,17.47,17.2,21.35,23.16,28.52,27.42,35.01,34.84,25.56,41.2,35.88,40.89
100103_100104,46.21,44.36,46.34,45.09,36.23,30.24,29.56,23.18,19.27,19.09,18.82,18.51,18.54,18.55,23.72,29.79,34.34,39.0,38.27,42.22,45.68,49.4,47.64,46.54
100103_100113,31.13,31.39,32.49,30.74,19.67,26.56,16.47,10.0,10.37,10.0,10.0,10.0,10.0,10.86,12.18,16.9,15.68,23.07,21.04,33.75,28.33,33.67,29.71,32.73
100104_100105,48.49,45.44,42.37,40.11,36.94,35.88,26.55,23.56,22.1,19.18,17.57,15.33,19.77,22.96,21.12,23.25,29.93,31.45,39.0,41.94,42.16,46.98,44.4,45.68
100104_100114,48.64,48.59,46.26,43.28,40.1,31.15,26.45,22.78,20.92,18.3,22.03,19.55,17.34,23.53,22.61,29.16,32.5,34.44,40.35,39.56,47.58,52.25,50.18,50.05
100105_100106,42.35,41.52,40.64,32.3,34.68,28.49,23.45,19.11,13.76,13.97,12.13,11.63,13.97,10.76,16.07,21.05,28.93,30.14,36.5,36.0,38.7,40.5,40.16,44.69
100105_100115,36.78,32.53,36.76,30.05,26.0,19.44,31.62,19.95,18.86,18.4,14.07,10.6,15.47,11.46,22.56,15.34,23.09,22.8,20.0,26.14,30.92,37.03,34.18,34.24
100106_100107,49.17,44.14,45.02,39.13,35.5,33.28,28.49,20.6,20.43,22.39,16.27,16.66,22.75,19.37,24.29,29.77,33.15,34.41,39.51,44.56,49.44,51.27,49.92,46.01
100106_100116,42.43,40.37,36.22,29.96,28.17,30.9,24.77,23.22,18.75,18.16,17.6,15.71,17.66,18.47,18.5,20.29,35.0,32.11,32.08,28.05,34.03,39.34,39.62,41.27
100107_100108,42.08,43.45,41.79,37.6,35.23,30.57,26.74,20.23,16.52,14.5,14.61,17.68,16.1,19.4,21.63,24.83,24.96,34.91,38.92,41.99,40.41,46.76,45.61,46.01
100107_100117,50.89,47.65,47.62,40.08,37.54,34.04,32.6,27.49,24.24,20.7,21.61,21.63,21.14,22.85,26.22,29.19,35.12,38.24,37.48,46.25,46.65,48.42,51.31,52.83
100108_100109,53.36,46.6,51.63,46.32,37.42,36.96,33.87,27.35,24.0,24.54,21.87,18.9,24.81,25.03,27.12,35.94,37.56,39.51,44.76,47.69,45.38,48.06,49.67,55.25
100108_100118,31.16,33.61,31.8,25.89,18.45,15.39,19.86,10.14,10.0,14.05,12.21,10.0,10.0,10.0,18.36,19.15,16.54,20.04,29.19,30.59,29.15,28.38,30.58,31.21
100109_100110,50.59,47.07,43.18,46.19,34.15,34.02,29.18,24.33,18.41,22.21,17.04,19.14,17.91,28.75,29.9,27.53,31.81,37.39,40.29,45.22,46.32,49.19,50.28,48.03
100109_100119,31.83,31.41,21.21,26.17,22.23,27.75,14.66,10.97,11.19,10.0,11.14,12.54,12.97,14.3,16.22,11.87,24.5,17.87,24.19,33.81,32.04,31.06,35.9,34.25
100110_100120,50.87,53.36,51.52,46.42,43.1,39.74,36.32,29.05,25.06,27.2,23.23,20.67,25.31,24.08,26.79,33.36,38.3,37.84,42.69,47.48,50.07,52.7,54.0,55.75
100111_100112,31.57,33.79,36.42,25.3,29.93,28.25,13.13,14.93,19.23,15.25,14.41,16.96,15.02,11.58,13.98,19.51,29.79,23.87,30.11,32.04,30.03,33.83,40.38,37.01
100111_100121,52.79,50.97,48.23,45.26,36.35,37.45,28.54,25.76,24.49,18.44,15.87,19.88,20.61,24.5,26.71,30.75,33.37,37.67,39.85,44.02,48.97,49.23,52.45,52.38
100112_100113,37.02,34.12,44.33,33.69,34.8,25.09,28.02,26.01,23.57,15.97,11.97,18.32,13.04,14.42,18.02,24.81,28.77,26.71,31.66,33.33,32.75,37.54,34.11,36.94
100112_100122,36.84,30.25,35.32,26.41,26.98,21.86,21.07,21.09,17.92,17.39,14.55,16.64,12.64,13.41,11.25,15.77,23.35,26.6,33.92,28.16,32.29,38.86,33.15,29.25
100113_100114,40.03,28.51,34.15,37.41,31.52,33.63,27.14,16.74,18.53,15.61,18.51,15.97,18.25,17.02,18.99,18.93,29.19,34.29,33.3,44.15,41.1,47.61,38.89,40.0
100113_100123,40.25,33.84,30.08,32.89,32.95,28.6,19.33,17.47,21.84,19.38,10.99,18.81,15.34,18.27,19.64,25.84,24.97,30.2,22.4,28.81,33.74,31.57,35.4,40.67
100114_100115,31.39,29.57,31.52,29.32,26.26,14.49,10.83,16.74,10.0,14.22,15.49,15.5,10.0,13.96,15.98,17.87,24.13,24.14,26.34,28.02,25.95,31.41,31.48,31.37
100114_100124,50.77,46.06,46.87,40.05,38.2,31.06,32.7,26.28,22.97,19.37,17.26,20.52,23.77,19.51,26.4,33.1,30.87,35.04,41.89,44.68,46.21,52.51,47.16,47.09
100115_100116,39.16,34.72,40.95,36.14,34.05,30.91,23.64,21.55,20.11,20.56,16.46,15.13,15.18,17.27,14.7,23.04,22.55,26.11,34.23,38.31,34.85,39.17,37.24,45.9
100115_100125,40.92,33.24,38.42,24.4,30.64,18.74,25.14,22.2,18.55,13.82,14.97,19.3,10.5,13.54,22.16,19.62,24.64,33.18,33.03,34.32,31.2,32.68,34.09,38.25
